x,y
0.671579,50.6699
0.675113,50.6734
0.678647,50.6769
0.68218,50.6804
0.685714,50.6839
0.689248,50.6874
0.692781,50.6909
0.696315,50.6945
0.699849,50.698
0.703382,50.7015
0.706916,50.705
0.71045,50.7085
0.713983,50.712
0.717517,50.7155
0.72105,50.7191
0.724584,50.7226
0.728118,50.7261
0.731651,50.7296
0.735185,50.7331
0.738718,50.7366
0.742252,50.7401
0.745785,50.7437
0.749319,50.7472
0.752852,50.7507
0.756386,50.7542
0.759919,50.7577
0.763453,50.7612
0.766986,50.7647
0.77052,50.7683
0.774053,50.7718
0.777587,50.7753
0.78112,50.7788
0.784653,50.7823
0.788187,50.7858
0.79172,50.7893
0.795254,50.7928
0.798787,50.7963
0.80232,50.7999
0.805854,50.8034
0.809387,50.8069
0.81292,50.8104
0.816454,50.8139
0.819987,50.8174
0.82352,50.8209
0.827054,50.8244
0.830587,50.8279
0.83412,50.8315
0.837653,50.835
0.841187,50.8385
0.84472,50.842
0.848253,50.8455
0.851786,50.849
0.85532,50.8525
0.858853,50.856
0.862386,50.8595
0.865919,50.8631
0.869452,50.8666
0.872986,50.8701
0.876519,50.8736
0.880052,50.8771
0.883585,50.8806
0.887118,50.8841
0.890651,50.8876
0.894185,50.8911
0.897718,50.8946
0.901251,50.8981
0.904784,50.9017
0.908317,50.9052
0.91185,50.9087
0.915383,50.9122
0.918916,50.9157
0.922449,50.9192
0.925982,50.9227
0.929515,50.9262
0.933048,50.9297
0.936581,50.9332
0.940114,50.9367
0.943647,50.9402
0.94718,50.9437
0.950713,50.9473
0.954246,50.9508
0.957779,50.9543
0.961312,50.9578
0.964845,50.9613
0.968378,50.9648
0.971911,50.9683
0.975444,50.9718
0.978977,50.9753
0.982509,50.9788
0.986042,50.9823
0.989575,50.9858
0.993108,50.9893
0.996641,50.9928
1.00017,50.9963
1.00371,50.9999
1.00724,51.0034
1.01077,51.0069
1.0143,51.0104
1.01784,51.0139
1.02137,51.0174
1.0249,51.0209
1.02844,51.0244
1.03197,51.0279
1.0355,51.0314
1.03903,51.0349
1.04257,51.0384
1.0461,51.0419
1.04963,51.0454
1.05317,51.0489
1.0567,51.0524
1.06023,51.0559
1.06376,51.0594
1.0673,51.0629
1.07083,51.0664
1.07436,51.0699
1.07789,51.0734
1.08143,51.0769
1.08496,51.0805
1.08849,51.084
1.09202,51.0875
1.09556,51.091
1.09909,51.0945
1.10262,51.098
1.10615,51.1015
1.10969,51.105
1.11322,51.1085
1.11675,51.112
1.12028,51.1155
1.12382,51.119
1.12735,51.1225
1.13088,51.126
1.13441,51.1295
1.13795,51.133
1.14148,51.1365
1.14501,51.14
1.14854,51.1435
1.15208,51.147
1.15561,51.1505
1.15914,51.154
1.16267,51.1575
1.16621,51.161
1.16974,51.1645
1.17327,51.168
1.1768,51.1715
1.18034,51.175
1.18387,51.1785
1.1874,51.182
1.19093,51.1855
1.19446,51.189
1.198,51.1925
1.20153,51.196
1.20506,51.1995
1.20859,51.203
1.21213,51.2065
1.21566,51.21
1.21919,51.2135
1.22272,51.217
1.22626,51.2205
1.22979,51.224
1.23332,51.2275
1.23685,51.231
1.24038,51.2345
1.24392,51.238
1.24745,51.2415
1.25098,51.245
1.25451,51.2485
1.25804,51.252
1.26158,51.2555
1.26511,51.259
1.26864,51.2625
1.27217,51.266
1.27571,51.2695
1.27924,51.273
1.28277,51.2765
1.2863,51.28
1.28983,51.2835
1.29337,51.287
1.2969,51.2905
1.30043,51.294
1.30396,51.2974
1.30749,51.3009
1.31103,51.3044
1.31456,51.3079
1.31809,51.3114
1.32162,51.3149
1.32515,51.3184
1.32869,51.3219
1.33222,51.3254
1.33575,51.3289
1.33928,51.3324
1.34281,51.3359
1.34635,51.3394
1.34988,51.3429
1.35341,51.3464
1.35694,51.3499
1.36047,51.3534
1.364,51.3569
